分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,環境違規,違反環境法規金額-misc,,元,2015,150000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2019,200000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,628
S,員工薪資,薪資中位數,,仟元,2020,549
S,員工薪資,平均薪資,,仟元,2019,638
S,員工薪資,薪資中位數,,仟元,2019,658
S,員工薪資,平均薪資,,仟元,2018,670
G,資本額,資本額,,元,2020,710109000
G,資本額,資本額,,元,2019,710109000
